tick,0,1,2,3,4,5
6.15,41,-64,-11,69,-16,-62
6.16,42,-63,-13,69,-13,-63
6.17,42,-62,-15,69,-12,-64
6.18,42,-61,-17,69,-10,-65
6.19,43,-60,-19,69,-8,-65
6.2,43,-59,-21,69,-6,-66
6.21,43,-58,-23,69,-4,-67
6.22,43,-56,-25,68,-2,-67
6.23,43,-55,-26,68,-1,-68
6.24,43,-54,-28,68,0,-68
6.25,43,-52,-30,67,2,-68
6.26,43,-51,-32,67,4,-69
6.2700000000000005,43,-50,-33,66,6,-69
6.28,43,-48,-35,66,7,-69
6.29,43,-47,-37,65,8,-69
6.3,43,-45,-39,64,11,-69
6.3100000000000005,42,-44,-40,63,13,-69
6.32,42,-43,-41,62,14,-69
6.33,42,-41,-43,62,16,-69
6.34,42,-39,-45,61,18,-69
6.3500000000000005,41,-38,-46,60,19,-69
6.36,41,-37,-47,59,20,-69
6.37,41,-35,-49,58,22,-69
6.38,40,-33,-50,57,24,-69
6.390000000000001,40,-32,-51,56,25,-68
6.4,40,-30,-53,54,28,-68
6.41,39,-28,-54,53,29,-67
6.42,39,-27,-55,52,30,-67
6.43,38,-25,-56,51,32,-67
6.44,38,-24,-57,50,34,-66
6.45,37,-22,-58,48,35,-66
6.46,37,-20,-59,47,36,-65
6.47,36,-19,-60,45,39,-64
6.48,36,-17,-61,44,40,-63
6.49,35,-15,-62,43,41,-63
6.5,34,-13,-63,41,43,-62
6.51,34,-12,-64,39,45,-61
6.5200000000000005,33,-10,-64,38,46,-60
6.53,32,-8,-65,36,48,-59
6.54,32,-7,-66,35,49,-58
6.55,31,-5,-66,33,50,-57
6.5600000000000005,30,-3,-67,31,52,-56
6.57,29,-2,-67,29,53,-54
6.58,29,0,-68,28,54,-53
6.59,28,0,-68,27,55,-52
6.6000000000000005,27,2,-68,24,57,-50
6.61,26,4,-69,23,58,-49
6.62,25,6,-69,21,59,-48
6.63,24,7,-69,19,60,-46
6.640000000000001,23,9,-69,19,60,-45
6.65,22,10,-69,17,61,-43
6.66,21,12,-69,15,62,-43
6.67,20,14,-69,13,63,-41
6.68,19,15,-69,12,64,-39
6.69,18,17,-69,10,64,-38
6.7,17,19,-69,8,65,-36
6.71,16,20,-69,6,66,-34
6.72,15,22,-69,5,66,-33
6.73,14,24,-69,3,67,-31
6.74,12,25,-68,1,67,-29
6.75,11,27,-68,0,68,-28
6.76,10,29,-67,-1,68,-26
6.7700000000000005,9,31,-67,-3,68,-25
6.78,7,32,-66,-4,69,-22
6.79,6,34,-66,-6,69,-21
6.8,4,36,-65,-8,69,-19
6.8100000000000005,3,38,-64,-10,69,-17
6.82,1,40,-63,-12,69,-14
6.83,0,42,-62,-14,69,-12
6.84,-1,43,-61,-16,69,-11
6.8500000000000005,-2,45,-60,-18,69,-9
6.86,-4,47,-59,-20,69,-6
6.87,-5,49,-58,-22,69,-5
6.88,-7,51,-57,-24,68,-2
6.890000000000001,-9,52,-55,-27,68,0
6.9,-11,54,-53,-29,67,1
6.91,-13,56,-51,-32,67,4
6.92,-14,58,-49,-34,66,6
6.93,-16,59,-47,-37,65,9
6.94,-18,61,-44,-40,63,12
6.95,-20,62,-42,-43,62,15
6.96,-22,64,-39,-45,60,18
6.97,-24,65,-36,-48,59,21
6.98,-25,66,-33,-50,57,24
6.99,-27,67,-31,-52,55,26
7.0,-28,68,-28,-54,53,29
7.01,-30,68,-25,-56,51,32
7.0200000000000005,-31,69,-21,-59,48,36
7.03,-33,69,-18,-60,45,39
7.04,-34,69,-15,-62,43,42
7.05,-35,69,-12,-63,40,44
7.0600000000000005,-36,69,-9,-65,37,47
